val_loss,val_acc,train_loss,train_acc
1.41928324,0.47432276,2.20739477,0.46594502
1.10503473,0.47393760,1.22757338,0.46624994
1.01123423,0.47862370,1.04735784,0.47007751
0.97822679,0.47862370,0.98900329,0.47107252
0.96579373,0.47380922,0.96800261,0.48432861
0.96066761,0.47512518,0.96002028,0.49847539
0.95835081,0.53976762,0.95660996,0.51708366
0.95714002,0.54021697,0.95461338,0.54349152
0.95545137,0.57305174,0.95312961,0.56136156
0.95442834,0.54329824,0.95171679,0.57103882
0.95216241,0.57025934,0.95024196,0.57409607
0.95154186,0.57372577,0.94875798,0.57582931
0.94890184,0.57208885,0.94737693,0.57699283
0.94768677,0.57497753,0.94591056,0.57641508
0.94788991,0.57179998,0.94434587,0.57819647
0.94464982,0.57728848,0.94316632,0.57854151
0.94393294,0.57632559,0.94203912,0.57759465
0.94285338,0.57456028,0.94083077,0.57900692
0.94428333,0.56624727,0.93979953,0.57781130
0.94268403,0.56724227,0.93897133,0.57876619
0.94151296,0.56782000,0.93792015,0.57828474
0.93865069,0.57828348,0.93738398,0.57874212
0.94223058,0.56916806,0.93648744,0.57806006
0.93718709,0.57642188,0.93589651,0.57942418
0.94015734,0.57009886,0.93520561,0.57740207
0.94107174,0.55793427,0.93466694,0.57737799
0.93558463,0.57517011,0.93431776,0.57797179
0.93747302,0.56971370,0.93364139,0.57826066
0.93400661,0.57940686,0.93305331,0.57666383
0.93490066,0.57529850,0.93260547,0.57765884
0.93748536,0.56387213,0.93246194,0.57619843
0.95037216,0.54130826,0.93175672,0.57745021
0.94456067,0.55000642,0.93174705,0.57734590
