val_loss,val_acc,train_loss,train_acc
0.93343125,0.56875080,1.00871623,0.56076776
0.93210382,0.56875080,0.93424181,0.56871179
0.92766120,0.58030556,0.93172931,0.57075797
0.92487490,0.57590833,0.93107231,0.56955433
0.94810457,0.55498138,0.92992559,0.57078205
0.92389815,0.57568366,0.93033453,0.57133572
0.92528983,0.57870073,0.92958682,0.57072588
0.92379447,0.57956734,0.93047526,0.57001172
0.92471434,0.57163949,0.92932820,0.57031664
0.92569343,0.57205675,0.92966573,0.57169681
0.92837365,0.57728849,0.92910450,0.57346215
0.93052023,0.57722429,0.92987122,0.56955433
