val_loss,val_acc,train_loss,train_acc
1.33471445,0.69739376,2.19506368,0.68372358
0.95530877,0.69739376,1.13868991,0.68546485
0.82578656,0.69739376,0.90774594,0.68546485
0.76964345,0.69739376,0.81957179,0.68546485
0.74158396,0.69739376,0.77940404,0.68547287
0.72725083,0.69739376,0.75797152,0.68552904
0.71392568,0.69739376,0.74444096,0.68573767
0.70602039,0.69739376,0.73499958,0.68580989
0.69904606,0.69739376,0.72745847,0.68623518
0.69417025,0.69739376,0.72167844,0.68629937
0.69064966,0.69739376,0.71651958,0.68654010
0.68531622,0.69739376,0.71259759,0.68709378
0.68240775,0.69742586,0.70872371,0.68779189
0.68217904,0.69765053,0.70538412,0.68750301
0.68106776,0.70021826,0.70238055,0.68798447
0.67976973,0.70114906,0.70018580,0.68749499
0.67057291,0.69739376,0.69764815,0.68766350
0.66913274,0.69739376,0.69524389,0.68810483
0.66844339,0.69758634,0.69354913,0.68913194
0.67134490,0.70487226,0.69134668,0.68958130
0.66445757,0.69986520,0.68988785,0.68813693
0.66591649,0.70333162,0.68869948,0.68797644
0.66105410,0.69739376,0.68719452,0.68909182
0.66157613,0.70291437,0.68583821,0.68843383
0.66075990,0.70387727,0.68428630,0.69019917
0.66931744,0.69739376,0.68317578,0.68920416
0.65717995,0.70195147,0.68225955,0.68857024
0.65625927,0.69745796,0.68122068,0.68949303
0.65512972,0.70008987,0.67996955,0.68924428
0.65349938,0.69761844,0.67908469,0.69026336
0.65271977,0.69752215,0.67776370,0.69077691
0.65158951,0.69765053,0.67708806,0.68950908
0.65219556,0.69781102,0.67677913,0.68950106
0.65193176,0.70069971,0.67573365,0.68979795
0.65575351,0.70657338,0.67501246,0.68890726
0.65809298,0.69739376,0.67414863,0.68983807
