val_loss,val_acc,train_loss,train_acc
1.53391303,0.38624984,2.32559549,0.38633628
1.22444464,0.38624984,1.34941749,0.38847876
1.13193360,0.38624984,1.17228053,0.38847876
1.09946431,0.38624984,1.11502352,0.38847876
1.08783186,0.38624984,1.09456367,0.38847876
1.08330908,0.38624984,1.08708014,0.38847876
1.08176470,0.38624984,1.08430987,0.38847876
1.08099540,0.38624984,1.08327622,0.38847876
1.08078650,0.38624984,1.08285547,0.38847876
1.08073483,0.38624984,1.08273730,0.38847876
1.08074586,0.38624984,1.08268427,0.38847876
1.08064169,0.38624984,1.08266312,0.38847876
1.08067723,0.38624984,1.08265142,0.38847876
1.08067157,0.38624984,1.08264501,0.38847876
1.08079512,0.38624984,1.08263279,0.38847876
1.08066641,0.38624984,1.08264329,0.38847876
