val_loss,val_acc,train_loss,train_acc
1.08100129,0.38624984,1.14750837,0.38801335
1.08130435,0.38624984,1.08287001,0.38847876
1.08130584,0.38624984,1.08295356,0.38847876
1.08088268,0.38624984,1.08292701,0.38847876
1.08096242,0.38624984,1.08289809,0.38847876
1.08084112,0.38624984,1.08293664,0.38847876
1.08103470,0.38624984,1.08291575,0.38847876
1.08068958,0.38624984,1.08289005,0.38847876
1.08137188,0.38624984,1.08290567,0.38847876
1.08075911,0.38624984,1.08289571,0.38847876
1.08121272,0.38624984,1.08286285,0.38847876
1.08115605,0.38624984,1.08287650,0.38848678
