val_loss,val_acc,train_loss,train_acc
0.73567917,0.73545178,1.32776274,0.73378218
0.59460067,0.73545178,0.64342529,0.73405502
0.57528174,0.73545178,0.58434420,0.73405502
0.57031847,0.73545178,0.57461838,0.73405502
0.56599591,0.73545178,0.57049249,0.73405502
0.56494667,0.73545178,0.56756371,0.73444020
0.57056848,0.73718505,0.56497291,0.73634205
0.56010133,0.74485637,0.56321173,0.73883771
0.55969009,0.74572300,0.56127826,0.74081178
0.55568201,0.74459959,0.56009981,0.74199140
0.55532432,0.74514524,0.55956085,0.74220807
0.55198191,0.74572300,0.55851046,0.74295436
0.56880474,0.74732788,0.55781297,0.74272967
0.55303340,0.74553042,0.55715701,0.74306670
0.54869604,0.74658964,0.55658251,0.74422225
0.55547227,0.74979939,0.55569366,0.74490435
0.55143986,0.74620446,0.55563436,0.74395744
0.54765419,0.74768095,0.55511684,0.74478398
0.55646090,0.74524154,0.55480621,0.74490435
0.56105551,0.75204622,0.55491871,0.74477595
0.54746368,0.74636495,0.55445760,0.74493645
0.56061970,0.75397208,0.55434866,0.74536978
0.54805594,0.74652544,0.55427067,0.74514509
0.54749510,0.75365110,0.55399900,0.74475188
0.55641200,0.74925374,0.55413137,0.74527348
