val_loss,val_acc,train_loss,train_acc
1.12601687,0.58226345,1.87950171,0.56721125
0.82040579,0.58226345,0.94641482,0.56729149
0.72825914,0.58226345,0.77086471,0.56729149
0.69556359,0.58226345,0.71353333,0.56729149
0.68385726,0.58226345,0.69236189,0.56729149
0.67692419,0.58226345,0.68366600,0.56729149
0.67340486,0.58226345,0.67925295,0.56729149
0.67120667,0.58226345,0.67646802,0.56737976
0.66856687,0.58226345,0.67412703,0.57164064
0.66744557,0.58242393,0.67219418,0.58156666
0.66479114,0.62203107,0.67034196,0.59894722
0.66378788,0.64430608,0.66876689,0.61308598
0.66208220,0.64395301,0.66727613,0.62571617
0.66012025,0.63827192,0.66586292,0.63084368
0.65913187,0.62986263,0.66507756,0.63264913
0.66030853,0.64857492,0.66351995,0.63654893
0.66076404,0.64648864,0.66280045,0.63627610
0.66095988,0.60370395,0.66184438,0.64041662
0.65502779,0.63766209,0.66153226,0.63990307
0.66144622,0.61805110,0.66046308,0.63981480
0.65569190,0.64973039,0.65983371,0.64120300
0.65350022,0.65258699,0.65935216,0.64154805
0.65263781,0.64697009,0.65872846,0.64223813
0.65341255,0.65030813,0.65829497,0.64162026
0.65139992,0.64774041,0.65751045,0.64295229
0.65642899,0.64388882,0.65705821,0.64200543
0.65102364,0.65428810,0.65690395,0.64242269
0.65453764,0.64568623,0.65662040,0.64250293
0.64962206,0.64279754,0.65592679,0.64334548
0.65209933,0.65069329,0.65568231,0.64131534
0.64881963,0.64404930,0.65532681,0.64374669
0.67295235,0.60659263,0.65485344,0.64322512
0.64694505,0.65300424,0.65487171,0.64324117
0.65666205,0.64141739,0.65498618,0.64196531
0.65289431,0.63403518,0.65421810,0.64377879
0.64732779,0.65387085,0.65422694,0.64306463
0.65063551,0.65547567,0.65375273,0.64254305
