val_loss,val_acc,train_loss,train_acc
0.83345423,0.58226345,1.41322478,0.56742790
0.68723554,0.58569778,0.74123827,0.57081414
0.66453492,0.62357171,0.67791013,0.60652213
0.65858302,0.64103223,0.66624984,0.63003322
0.66466580,0.63506227,0.66247085,0.63519283
0.65347148,0.63888176,0.65978637,0.63840253
0.65223172,0.64369624,0.65831687,0.63865931
0.65005201,0.64523688,0.65733011,0.63894818
0.64817510,0.64818976,0.65609059,0.64213382
0.65216952,0.64013352,0.65556649,0.63987900
0.64789193,0.65066119,0.65488916,0.64100239
0.64835163,0.64902427,0.65389755,0.64078574
0.64700481,0.64902427,0.65352355,0.64218196
0.64496065,0.64780460,0.65316839,0.64167643
0.64468693,0.64825395,0.65307225,0.64064130
0.64852903,0.64815766,0.65253177,0.64235047
0.65067089,0.64327899,0.65258449,0.64139558
0.64789132,0.62764797,0.65216915,0.64268749
0.64273301,0.64924894,0.65238730,0.64265539
0.65357512,0.62623572,0.65155372,0.64225418
0.64521112,0.65326101,0.65155400,0.64362633
0.64372895,0.65435229,0.65118148,0.64328931
0.64453733,0.64087174,0.65123199,0.64331338
