val_loss,val_acc,train_loss,train_acc
0.61695709,0.95987803,1.43443165,0.96002118
0.31028460,0.95987803,0.43087750,0.96024587
0.21876381,0.95987803,0.25562522,0.96024588
0.18678994,0.95987803,0.19902900,0.96024587
0.17520256,0.95987803,0.17891689,0.96024588
0.17098200,0.95987803,0.17157183,0.96024588
0.16935643,0.95987803,0.16885184,0.96024587
0.16875060,0.95987803,0.16783495,0.96024587
0.16850187,0.95987803,0.16744451,0.96024587
0.16840430,0.95987803,0.16728342,0.96024588
0.16836592,0.95987803,0.16721788,0.96024587
0.16834800,0.95987803,0.16719121,0.96024587
0.16834461,0.95987803,0.16717988,0.96024587
0.16833588,0.95987803,0.16717404,0.96024588
0.16833461,0.95987803,0.16717233,0.96024587
0.16834291,0.95987803,0.16716821,0.96024588
0.16833342,0.95987803,0.16717059,0.96024587
0.16833261,0.95987803,0.16716936,0.96024588
0.16833413,0.95987803,0.16716919,0.96024588
0.16833182,0.95987803,0.16716892,0.96024587
0.16833217,0.95987803,0.16716554,0.96024587
0.16833167,0.95987803,0.16717033,0.96024587
0.16833362,0.95987803,0.16716810,0.96024587
0.16833285,0.95987803,0.16716851,0.96024587
0.16833194,0.95987803,0.16716590,0.96024588
0.16833805,0.95987803,0.16716683,0.96024587
