val_loss,val_acc,train_loss,train_acc
0.61695696,0.95987803,1.43443154,0.96002118
0.31028429,0.95987803,0.43087762,0.96024587
0.21876073,0.95987803,0.25562499,0.96024588
0.18679019,0.95987803,0.19902914,0.96024587
0.17520528,0.95987803,0.17891685,0.96024588
0.17098176,0.95987803,0.17157204,0.96024588
0.16935285,0.95987803,0.16885170,0.96024587
0.16874810,0.95987803,0.16783448,0.96024587
0.16850239,0.95987803,0.16744362,0.96024587
0.16840469,0.95987803,0.16728315,0.96024588
0.16836636,0.95987803,0.16721767,0.96024587
0.16834786,0.95987803,0.16719139,0.96024587
0.16834373,0.95987803,0.16717992,0.96024587
0.16833593,0.95987803,0.16717390,0.96024588
0.16833463,0.95987803,0.16717242,0.96024587
0.16834541,0.95987803,0.16716817,0.96024588
0.16833345,0.95987803,0.16717053,0.96024587
0.16833302,0.95987803,0.16716935,0.96024588
0.16833410,0.95987803,0.16716919,0.96024588
0.16833181,0.95987803,0.16716898,0.96024587
0.16833217,0.95987803,0.16716561,0.96024587
0.16833171,0.95987803,0.16717037,0.96024587
0.16833359,0.95987803,0.16716806,0.96024587
0.16833283,0.95987803,0.16716855,0.96024587
0.16833193,0.95987803,0.16716592,0.96024588
0.16833828,0.95987803,0.16716688,0.96024587
